content,nFixations,FFD,TRT,GPT,GD,nFixations_avg,FFD_avg,TRT_avg,GPT_avg,GD_avg
Deuces,2,105,201,201,201,[],[],[],[],[]
Wild,1,109,109,109,109,[],[],[],[],[]
had,1,67,67,377,67,[],[],[],[],[]
been,2,137,414,414,414,[],[],[],[],[]
tweaked,1,144,144,144,144,1.5833333333333333,109.16666666666667,176.08333333333334,154.0,137.5
up,1,116,116,116,116,[],[],[],[],[]
notch,2,103,189,103,103,[],[],[],[],[]
have,3,97,293,538,97,[],[],[],[],[]
become,1,65,65,65,65,[],[],[],[],[]
camp,[],[],[],[],[],[],[],[],[],[]
"adventure,",3,71,548,255,71,1.8333333333333333,141.25,281.4166666666667,248.16666666666666,159.91666666666666
one,1,69,69,141,69,[],[],[],[],[]
those,1,102,102,102,102,[],[],[],[],[]
movies,1,90,90,90,90,[],[],[],[],[]
that's,1,67,67,67,67,[],[],[],[],[]
bad,1,84,84,84,84,[],[],[],[],[]
starts,[],[],[],[],[],[],[],[],[],[]
good.,[],[],[],[],[],[],[],[],[],[]
film's,2,89,221,89,89,[],[],[],[],[]
stagecrafts,10,71,1125,574,71,6.0,100.33333333333333,723.5833333333334,327.25,239.33333333333334
are,5,154,539,339,339,[],[],[],[],[]
intimate,8,141,1069,954,141,3.6666666666666665,123.08333333333333,483.8333333333333,318.9166666666667,200.91666666666666
therefore,8,128,1104,861,192,3.1666666666666665,112.91666666666667,372.3333333333333,239.25,139.66666666666666
bolder,4,102,490,102,102,[],[],[],[],[]
than,1,115,115,115,115,[],[],[],[],[]
otherwise,4,70,307,184,184,[],[],[],[],[]
calculated,3,162,401,273,273,4.25,139.58333333333334,528.0,368.0,236.0
artifice,2,122,216,122,122,3.5833333333333335,162.58333333333334,570.4166666666666,313.5833333333333,253.5
defines,5,102,540,348,348,3.25,129.75,429.6666666666667,292.25,200.5
overwhelms,3,82,351,172,172,[],[],[],[],[]
production,6,127,816,372,127,[],[],[],[],[]
design.,2,64,266,3514,64,[],[],[],[],[]
Frida,[],[],[],[],[],[],[],[],[],[]
certainly,3,103,331,371,103,2.5,102.875,274.4166666666667,243.66666666666666,124.0
no,3,60,234,431,60,[],[],[],[],[]
"disaster,",3,107,373,107,107,[],[],[],[],[]
but,[],[],[],[],[],[],[],[],[],[]
neither,6,127,633,127,127,[],[],[],[],[]
Kahlo,3,68,240,804,68,[],[],[],[],[]
movie,[],[],[],[],[],[],[],[],[],[]
fans,1,133,133,133,133,[],[],[],[],[]
looking,2,122,271,1131,122,[],[],[],[],[]
for.,[],[],[],[],[],[],[],[],[],[]
often,5,82,501,563,192,[],[],[],[],[]
achieves,4,102,429,215,215,[],[],[],[],[]
mesmerizing,4,136,561,136,136,[],[],[],[],[]
poetry.,3,81,263,1040,174,[],[],[],[],[]
A,[],[],[],[],[],[],[],[],[],[]
work,[],[],[],[],[],[],[],[],[],[]
astonishing,2,65,153,263,65,4.5,80.83333333333333,536.3333333333334,311.1666666666667,127.75
delicacy,4,66,519,441,66,3.8333333333333335,104.5,479.0833333333333,492.25,109.25
force.,1,79,79,420,79,[],[],[],[],[]
movie's,1,166,166,166,166,[],[],[],[],[]
plot,1,145,145,145,145,[],[],[],[],[]
almost,1,120,120,120,120,[],[],[],[],[]
entirely,4,108,369,265,265,1.6956521739130435,109.0,182.30434782608697,164.91304347826087,137.52173913043478
witless,4,90,434,456,239,2.0,152.08333333333334,320.6666666666667,263.1666666666667,216.16666666666666
"inane,",3,96,297,490,178,[],[],[],[],[]
carrying,2,81,163,81,81,[],[],[],[],[]
every,3,137,408,218,137,[],[],[],[],[]
gag,4,69,576,678,69,[],[],[],[],[]
two,4,117,392,117,117,[],[],[],[],[]
or,3,104,266,418,104,[],[],[],[],[]
three,1,78,78,78,78,[],[],[],[],[]
times,4,114,437,114,114,[],[],[],[],[]
its,1,80,80,80,80,[],[],[],[],[]
limit,2,134,219,134,134,[],[],[],[],[]
sustain,[],[],[],[],[],[],[],[],[],[]
laugh.,2,82,194,1715,82,[],[],[],[],[]
For,[],[],[],[],[],[],[],[],[],[]
most,1,96,96,96,96,[],[],[],[],[]
"part,",1,62,62,62,62,[],[],[],[],[]
ingredients,3,102,467,102,102,2.5833333333333335,115.91666666666667,375.5833333333333,134.58333333333334,134.58333333333334
there.,2,94,195,560,94,[],[],[],[],[]
But,[],[],[],[],[],[],[],[],[],[]
if,[],[],[],[],[],[],[],[],[],[]
you've,3,69,260,157,157,2.1666666666666665,94.58333333333333,231.83333333333334,131.0,116.66666666666667
paid,2,73,156,73,73,[],[],[],[],[]
matinee,6,107,580,107,107,2.6666666666666665,142.83333333333334,317.0,239.75,190.75
price,3,109,269,109,109,[],[],[],[],[]
bought,2,117,250,117,117,[],[],[],[],[]
big,3,107,252,107,107,[],[],[],[],[]
tub,2,58,108,404,58,[],[],[],[],[]
"popcorn,",2,109,323,109,109,1.4166666666666667,95.66666666666667,141.91666666666666,136.91666666666666,124.08333333333333
there's,2,70,153,179,70,[],[],[],[],[]
guilty,2,99,217,99,99,[],[],[],[],[]
fun,1,71,71,189,71,[],[],[],[],[]
here.,2,105,163,1406,163,[],[],[],[],[]
There's,[],[],[],[],[],[],[],[],[],[]
not,1,112,112,112,112,[],[],[],[],[]
much,2,63,135,135,135,[],[],[],[],[]
"Fatale,",4,119,465,600,200,3.4166666666666665,145.41666666666666,416.9166666666667,432.0,285.4166666666667
outside,2,118,249,118,118,[],[],[],[],[]
stylish,3,119,355,119,119,[],[],[],[],[]
surprises...,3,86,327,191,191,1.75,109.16666666666667,200.0,249.75,152.91666666666666
OK.,2,54,504,640,54,[],[],[],[],[]
acting,2,146,220,146,146,[],[],[],[],[]
"stiff,",3,160,342,160,160,[],[],[],[],[]
story,3,105,320,105,105,[],[],[],[],[]
lacks,6,105,811,845,291,[],[],[],[],[]
all,[],[],[],[],[],[],[],[],[],[]
trace,4,147,429,147,147,2.0,121.08333333333333,241.33333333333334,223.66666666666666,198.5
"wit,",1,99,99,884,99,[],[],[],[],[]
sets,[],[],[],[],[],[],[],[],[],[]
look,4,142,381,220,220,[],[],[],[],[]
they,1,140,140,140,140,[],[],[],[],[]
were,2,83,165,83,83,[],[],[],[],[]
borrowed,2,76,201,201,201,[],[],[],[],[]
from,2,164,327,164,164,[],[],[],[],[]
Gilligan's,7,117,918,117,117,[],[],[],[],[]
Island,3,107,284,791,107,[],[],[],[],[]
CGI,2,162,264,690,162,[],[],[],[],[]
Scooby,3,72,235,1485,72,2.0,121.58333333333333,215.5,303.0833333333333,167.66666666666666
might,1,73,73,73,73,[],[],[],[],[]
well,1,87,87,87,87,[],[],[],[],[]
worst,2,62,125,212,62,[],[],[],[],[]
special-effects,1,86,86,86,86,[],[],[],[],[]
creation,2,72,161,560,72,[],[],[],[],[]
year.,[],[],[],[],[],[],[],[],[],[]
This,[],[],[],[],[],[],[],[],[],[]
version,6,113,695,113,113,2.7083333333333335,128.83333333333334,363.3333333333333,155.08333333333334,150.08333333333334
moves,4,71,468,1028,71,2.8333333333333335,123.33333333333333,349.6666666666667,299.5,128.16666666666666
original's,4,109,355,109,109,2.5,109.91666666666667,271.0,154.33333333333334,123.0
nostalgia,3,139,346,199,139,[],[],[],[],[]
communal,5,77,505,153,153,2.75,121.25,322.0,433.0833333333333,168.75
experiences,10,115,1036,690,294,[],[],[],[],[]
yesteryear,6,103,597,189,189,[],[],[],[],[]
deeper,5,113,518,167,167,2.1666666666666665,144.75,286.5833333333333,169.83333333333334,164.83333333333334
realization,2,155,293,155,155,[],[],[],[],[]
cinema's,6,139,913,139,139,[],[],[],[],[]
inability,2,71,148,591,71,[],[],[],[],[]
stand,1,129,129,129,129,[],[],[],[],[]
"true,",3,96,286,96,96,[],[],[],[],[]
lived,3,89,228,867,89,[],[],[],[],[]
experience.,2,93,267,3534,93,[],[],[],[],[]
palpable,1,181,181,181,181,[],[],[],[],[]
chemistry,2,135,202,135,135,[],[],[],[],[]
between,5,76,453,76,76,[],[],[],[],[]
Lopez,7,127,732,127,127,[],[],[],[],[]
male,3,88,368,1638,88,[],[],[],[],[]
lead,1,88,88,88,88,[],[],[],[],[]
Ralph,[],[],[],[],[],[],[],[],[],[]
"Fiennes,",1,129,129,129,129,1.9166666666666667,103.83333333333333,212.66666666666666,271.5,156.83333333333334
plus,[],[],[],[],[],[],[],[],[],[]
script,1,80,80,168,80,[],[],[],[],[]
by,[],[],[],[],[],[],[],[],[],[]
Working,1,110,110,110,110,1.6666666666666667,119.33333333333333,189.16666666666666,173.58333333333334,130.83333333333334
Girl,[],[],[],[],[],[],[],[],[],[]
scribe,1,133,133,133,133,[],[],[],[],[]
Kevin,1,102,102,102,102,[],[],[],[],[]
Wade,[],[],[],[],[],[],[],[],[],[]
workmanlike,2,66,325,66,66,2.9166666666666665,100.25,376.25,280.1666666666667,142.16666666666666
extreme.,1,50,50,309,50,[],[],[],[],[]
"first-class,",7,74,805,451,451,3.1666666666666665,122.66666666666667,395.25,183.83333333333334,177.16666666666666
thoroughly,6,82,583,212,212,2.739130434782609,136.08695652173913,353.82608695652175,201.43478260869566,169.7391304347826
involving,7,148,970,1140,568,[],[],[],[],[]
B,[],[],[],[],[],[],[],[],[],[]
effectively,2,121,217,217,217,[],[],[],[],[]
combines,1,122,122,122,122,[],[],[],[],[]
"surefire,",2,186,273,273,273,2.3333333333333335,122.08333333333333,289.5833333333333,328.75,232.58333333333334
beloved,[],[],[],[],[],[],[],[],[],[]
genres,1,166,166,166,166,1.4166666666666667,125.5,163.75,173.25,136.91666666666666
prison,2,121,231,121,121,[],[],[],[],[]
flick,1,54,54,54,54,[],[],[],[],[]
fight,1,152,152,152,152,[],[],[],[],[]
film.,2,95,177,842,177,[],[],[],[],[]
doesn't,1,140,140,140,140,[],[],[],[],[]
improve,3,130,309,130,130,1.8333333333333333,107.25,191.41666666666666,146.25,127.41666666666667
upon,5,120,463,180,180,[],[],[],[],[]
experience,2,107,212,421,107,1.4166666666666667,99.41666666666667,131.41666666666666,178.83333333333334,118.41666666666667
staring,2,110,275,503,110,[],[],[],[],[]
at,[],[],[],[],[],[],[],[],[],[]
blank,1,71,71,665,71,[],[],[],[],[]
screen.,1,69,69,1237,69,[],[],[],[],[]
Weiss,[],[],[],[],[],[],[],[],[],[]
Speck,1,113,113,113,113,[],[],[],[],[]
never,[],[],[],[],[],[],[],[],[],[]
make,2,139,272,139,139,[],[],[],[],[]
convincing,5,136,492,419,136,[],[],[],[],[]
relevance,1,103,103,103,103,[],[],[],[],[]
these,4,67,317,170,67,[],[],[],[],[]
20th-century,7,76,754,76,76,[],[],[],[],[]
footnotes.,2,83,187,1657,83,[],[],[],[],[]
Another,2,56,212,56,56,[],[],[],[],[]
Best,2,73,174,129,73,[],[],[],[],[]
Year,2,80,186,80,80,[],[],[],[],[]
selection.,2,90,201,914,90,2.0833333333333335,171.08333333333334,312.25,686.9166666666666,210.75
It's,[],[],[],[],[],[],[],[],[],[]
rather,6,110,648,110,110,[],[],[],[],[]
shapeless,6,67,710,893,67,2.5416666666666665,122.41666666666667,331.9166666666667,341.7083333333333,158.625
time...,4,78,703,1433,78,[],[],[],[],[]
Same,1,104,104,104,104,[],[],[],[],[]
"song,",3,81,246,263,159,2.25,87.08333333333333,249.16666666666666,199.08333333333334,143.66666666666666
second,2,96,184,96,96,[],[],[],[],[]
"verse,",1,164,164,251,164,[],[],[],[],[]
coulda,1,114,114,114,114,[],[],[],[],[]
"better,",2,111,244,272,111,[],[],[],[],[]
worse.,1,92,92,759,92,[],[],[],[],[]
I,[],[],[],[],[],[],[],[],[],[]
love,[],[],[],[],[],[],[],[],[],[]
robust,2,81,165,171,81,2.1666666666666665,107.58333333333333,250.75,223.66666666666666,116.5
middle,3,69,254,425,69,2.5,115.0,285.5833333333333,321.0,154.5
this,[],[],[],[],[],[],[],[],[],[]
picture.,1,220,220,662,220,[],[],[],[],[]
That's,[],[],[],[],[],[],[],[],[],[]
vintage,2,78,129,78,78,[],[],[],[],[]
Spielberg,2,153,241,560,153,[],[],[],[],[]
"that,",[],[],[],[],[],[],[],[],[],[]
"finally,",4,84,362,302,302,[],[],[],[],[]
minimally,4,84,392,249,84,[],[],[],[],[]
satisfying.,1,103,103,306,103,[],[],[],[],[]
soundtrack,1,106,106,106,106,[],[],[],[],[]
alone,2,106,218,106,106,[],[],[],[],[]
worth,3,81,207,81,81,[],[],[],[],[]
admission.,2,83,404,723,83,[],[],[],[],[]
Mostly,1,93,93,93,93,[],[],[],[],[]
Martha,5,97,471,195,195,3.1666666666666665,120.66666666666667,408.5,247.33333333333334,128.83333333333334
could,2,71,204,342,71,[],[],[],[],[]
used,1,87,87,287,87,[],[],[],[],[]
little,1,78,78,78,78,[],[],[],[],[]
trimming,2,75,156,526,75,1.5833333333333333,110.66666666666667,195.5,282.9166666666667,170.16666666666666
10,1,66,66,66,66,[],[],[],[],[]
15,[],[],[],[],[],[],[],[],[],[]
minutes,2,94,156,156,156,[],[],[],[],[]
cut,[],[],[],[],[],[],[],[],[],[]
notice,1,152,152,152,152,[],[],[],[],[]
pleasurable,6,100,561,180,180,3.1666666666666665,91.75,313.1666666666667,386.9166666666667,174.25
trifle.,2,139,232,1251,139,[],[],[],[],[]
rest,3,88,642,165,88,[],[],[],[],[]
"us,",1,95,95,649,95,[],[],[],[],[]
sitting,1,114,114,114,114,[],[],[],[],[]
through,[],[],[],[],[],[],[],[],[],[]
Dahmer's,2,97,154,97,97,2.3333333333333335,129.91666666666666,276.9166666666667,249.0,206.33333333333334
hours,1,83,83,83,83,[],[],[],[],[]
amounts,1,89,89,89,89,[],[],[],[],[]
more,[],[],[],[],[],[],[],[],[],[]
punishment.,1,78,78,825,78,1.3333333333333333,110.0,163.58333333333334,716.0833333333334,134.41666666666666
Featuring,1,132,132,132,132,[],[],[],[],[]
dangerously,3,72,229,361,72,[],[],[],[],[]
seductive,1,151,151,151,151,1.8333333333333333,126.16666666666667,219.41666666666666,194.66666666666666,149.41666666666666
performance,2,112,294,294,294,[],[],[],[],[]
great,1,74,74,74,74,[],[],[],[],[]
Daniel,1,136,136,136,136,[],[],[],[],[]
"Auteuil,",3,137,462,598,233,2.4166666666666665,99.25,317.75,329.25,173.75
``Sade'',2,138,205,138,138,1.75,129.16666666666666,233.25,208.58333333333334,194.66666666666666
covers,4,157,436,317,157,1.9166666666666667,129.41666666666666,256.5833333333333,207.41666666666666,186.25
same,2,142,268,142,142,[],[],[],[],[]
period,1,70,70,70,70,[],[],[],[],[]
Kaufmann's,2,93,189,189,189,2.4166666666666665,129.16666666666666,295.4166666666667,292.0,230.5
``Quills'',1,71,71,71,71,[],[],[],[],[]
unsettlingly,6,120,619,818,182,2.75,121.91666666666667,302.6666666666667,234.91666666666666,181.91666666666666
realistic,4,83,369,300,300,[],[],[],[],[]
results.,2,109,224,838,224,[],[],[],[],[]
who,[],[],[],[],[],[],[],[],[],[]
can't,1,101,101,101,101,[],[],[],[],[]
stop,2,106,186,106,106,[],[],[],[],[]
loving,5,78,408,409,78,[],[],[],[],[]
"anime,",1,78,78,425,78,[],[],[],[],[]
fanatical,1,74,74,74,74,[],[],[],[],[]
excess,4,59,324,1554,59,1.9166666666666667,139.0,246.83333333333334,412.4166666666667,139.0
built,2,105,224,187,105,[],[],[],[],[]
into,3,76,395,632,76,[],[],[],[],[]
Ring,1,103,103,103,103,[],[],[],[],[]
"look,",3,91,256,165,91,[],[],[],[],[]
you,1,136,136,136,136,[],[],[],[],[]
don't,2,128,214,128,128,[],[],[],[],[]
demand,5,101,515,371,101,2.4166666666666665,114.25,271.4166666666667,278.6666666666667,139.33333333333334
few,5,89,527,1197,244,[],[],[],[],[]
cheap,2,111,261,247,111,[],[],[],[],[]
thrills,1,106,106,256,106,[],[],[],[],[]
your,2,71,121,435,71,[],[],[],[],[]
Halloween,2,97,274,97,97,[],[],[],[],[]
entertainment.,1,106,106,718,106,1.3333333333333333,125.16666666666667,164.75,599.5833333333334,138.41666666666666
"observed,",5,82,432,273,82,[],[],[],[],[]
miraculously,4,73,433,453,73,3.0,127.08333333333333,375.9166666666667,274.5833333333333,174.25
unsentimental,5,101,648,223,223,4.083333333333333,133.5,550.4166666666666,423.5,270.5
comedy-drama.,2,105,185,1497,185,2.9166666666666665,136.25,373.5,933.1666666666666,243.33333333333334
What,[],[],[],[],[],[],[],[],[],[]
makes,3,68,306,306,306,[],[],[],[],[]
How,[],[],[],[],[],[],[],[],[],[]
Killed,2,141,258,141,141,[],[],[],[],[]
Father,2,89,154,685,89,1.75,114.16666666666667,192.33333333333334,268.0,129.5
"compelling,",1,104,104,104,104,1.6666666666666667,125.0,201.75,192.0,155.58333333333334
besides,1,80,80,80,80,1.5833333333333333,131.25,195.83333333333334,167.91666666666666,167.91666666666666
terrific,[],[],[],[],[],[],[],[],[],[]
"performances,",4,77,417,417,417,3.75,85.58333333333333,400.3333333333333,391.4166666666667,176.5
Fontaine's,2,102,242,102,102,3.25,118.75,419.5833333333333,336.0,292.9166666666667
willingness,3,84,277,417,84,1.8333333333333333,126.91666666666667,207.0,207.25,145.33333333333334
wander,3,117,281,195,195,[],[],[],[],[]
dark,1,95,95,95,95,[],[],[],[],[]
areas,1,64,64,159,64,1.4166666666666667,106.41666666666667,146.41666666666666,150.66666666666666,106.41666666666667
parent-child,2,143,262,361,143,2.6666666666666665,130.75,320.5833333333333,299.25,211.08333333333334
relationships,1,57,57,57,57,[],[],[],[],[]
flinching.,[],[],[],[],[],[],[],[],[],[]
hastily,3,282,547,547,547,[],[],[],[],[]
mounted,3,68,212,68,68,2.8333333333333335,109.0,347.6666666666667,219.91666666666666,122.66666666666667
exists,1,108,108,108,108,[],[],[],[],[]
only,3,107,354,247,247,[],[],[],[],[]
capitalize,1,100,100,100,100,[],[],[],[],[]
on,1,81,81,81,81,[],[],[],[],[]
Hopkins',1,103,103,103,103,[],[],[],[],[]
inclination,10,58,1255,1358,58,[],[],[],[],[]
play,1,88,88,88,88,[],[],[],[],[]
Hannibal,1,90,90,90,90,2.0,124.83333333333333,229.58333333333334,217.83333333333334,176.58333333333334
Lecter,1,124,124,124,124,[],[],[],[],[]
"again,",1,72,72,72,72,[],[],[],[],[]
even,1,129,129,129,129,[],[],[],[],[]
though,[],[],[],[],[],[],[],[],[],[]
Harris,2,71,141,141,141,[],[],[],[],[]
immediate,2,117,214,117,117,1.75,122.58333333333333,214.5,162.08333333333334,140.75
fourth,[],[],[],[],[],[],[],[],[],[]
book.,[],[],[],[],[],[],[],[],[],[]
Bullock's,1,116,116,116,116,1.8333333333333333,123.83333333333333,288.5,137.58333333333334,137.58333333333334
complete,6,77,567,393,77,[],[],[],[],[]
lack,1,79,79,187,79,1.1666666666666667,130.41666666666666,152.75,173.5,130.41666666666666
focus,2,180,302,180,180,[],[],[],[],[]
ability,1,91,91,91,91,[],[],[],[],[]
quickly,2,157,217,217,217,[],[],[],[],[]
derails,2,81,160,160,160,[],[],[],[],[]
film.1,1,111,111,339,111,2.1666666666666665,176.33333333333334,377.4166666666667,859.0833333333334,299.0
...,[],[],[],[],[],[],[],[],[],[]
plotline,1,133,133,133,133,[],[],[],[],[]
lumpy,4,71,394,604,194,2.0833333333333335,86.66666666666667,190.91666666666666,169.0,108.75
two-day,2,180,246,246,246,[],[],[],[],[]
porridge...,1,119,119,325,119,[],[],[],[],[]
filmmakers',1,102,102,102,102,2.6666666666666665,121.5,341.4166666666667,226.58333333333334,226.58333333333334
"paws,",1,91,91,91,91,[],[],[],[],[]
sad,[],[],[],[],[],[],[],[],[],[]
"say,",1,218,218,218,218,[],[],[],[],[]
over,[],[],[],[],[],[],[],[],[],[]
``un-bear-able'',2,113,408,113,113,2.8333333333333335,138.66666666666666,376.1666666666667,559.0833333333334,269.8333333333333
project!,2,74,170,578,74,[],[],[],[],[]
Crush,[],[],[],[],[],[],[],[],[],[]
man,1,117,117,117,117,[],[],[],[],[]
made,5,76,485,76,76,[],[],[],[],[]
about,3,54,275,140,54,[],[],[],[],[]
women,3,77,210,287,77,[],[],[],[],[]
since,[],[],[],[],[],[],[],[],[],[]
Valley,3,72,193,72,72,[],[],[],[],[]
Dolls.,2,80,165,1210,80,[],[],[],[],[]
"Reassuring,",2,90,176,176,176,[],[],[],[],[]
retro,1,277,277,277,277,[],[],[],[],[]
uplifter.,3,152,523,976,152,[],[],[],[],[]
Flaccid,[],[],[],[],[],[],[],[],[],[]
drama,2,196,323,196,196,[],[],[],[],[]
exasperatingly,3,87,554,87,87,[],[],[],[],[]
slow,1,114,114,248,114,[],[],[],[],[]
journey.,1,64,64,601,64,[],[],[],[],[]
Movie,1,70,70,70,70,[],[],[],[],[]
reach,2,123,247,123,123,1.9166666666666667,121.0,264.6666666666667,203.5,164.41666666666666
far,1,73,73,73,73,[],[],[],[],[]
core,1,81,81,81,81,[],[],[],[],[]
demographic.,3,145,300,670,300,[],[],[],[],[]
did,[],[],[],[],[],[],[],[],[],[]
ever,2,152,333,152,152,[],[],[],[],[]
get,3,111,371,177,177,[],[],[],[],[]
made?,3,69,541,1245,69,[],[],[],[],[]
new,1,76,76,186,76,[],[],[],[],[]
footage,6,72,621,716,72,[],[],[],[],[]
still,[],[],[],[],[],[],[],[],[],[]
stuff.,1,116,116,1265,116,[],[],[],[],[]
It,[],[],[],[],[],[],[],[],[],[]
briefly,5,107,711,711,711,[],[],[],[],[]
